-1 0.0467455 
-0.92 0.0419853 
-0.84 0.0374911 
-0.76 0.033112 
-0.68 0.028888 
-0.6 0.0244612 
-0.52 0.0198096 
-0.44 0.0155437 
-0.36 0.0111785 
-0.28 0.00757112 
-0.2 0.00355293 
-0.12 0.000230589 
-0.04 -0.0027393 
0.04 -0.00544546 
0.12 -0.00724861 
0.2 -0.00845096 
0.28 -0.00845999 
0.36 -0.00700997 
0.44 -0.0050451 
0.52 -0.00189911 
0.6 0.00321535 
0.68 0.00844845 
0.76 0.0125233 
0.84 0.0180973 
0.92 0.023509 
1 0.0260726 
1.08 0.0289393 
1.16 0.0292362 
1.24 0.0296995 
1.32 0.0289911 
1.4 0.0286482 
1.48 0.0272486 
1.56 0.0259637 
1.64 0.0238276 
1.72 0.0220981 
1.8 0.0202137 
1.88 0.0183302 
1.96 0.0153807 
2.04 0.0136794 
2.12 0.0117689 
2.2 0.00930673 
2.28 0.00737711 
2.36 0.00452907 
2.44 0.00175211 
2.52 -5.52542e-05 
2.6 -0.00233627 
2.68 -0.00515201 
2.76 -0.00757447 
2.84 -0.0109763 
2.92 -0.012717 
3 -0.0162331 
